,Age,Experience,Income,CCAvg,Mortgage,Family_2,Family_3,Family_4,Education_2,Education_3,Personal_Loan_1,Securities_Account_1,CD Account_1,Online_1,CreditCard_1
2197,60,35,34,0.3,0,0,0,0,0,1,0,0,0,1,0
2397,47,22,93,0.2,309,0,0,0,1,0,0,0,0,1,0
718,56,31,21,0.2,137,1,0,0,0,1,0,0,1,1,1
552,28,3,52,2.2,230,0,0,1,0,0,0,0,0,1,0
2964,35,10,73,2.3,0,0,1,0,0,0,0,0,0,1,0
1939,55,31,23,0.2,0,1,0,0,0,0,0,0,0,1,0
516,53,27,81,1.7,0,0,1,0,1,0,0,0,0,0,0
1678,56,30,73,1.1,0,1,0,0,0,0,0,0,0,0,0
1743,50,24,32,1.8,109,0,0,1,0,0,0,0,0,1,0
4577,63,37,80,1.7,0,1,0,0,0,1,0,0,0,1,1
2132,59,35,11,1.0,0,1,0,0,0,0,0,0,0,0,1
3307,34,10,25,1.0,0,0,0,1,0,0,0,0,0,1,0
2236,51,24,23,0.5,0,0,0,0,1,0,0,0,0,1,0
3504,46,20,15,0.6,0,0,0,1,0,1,0,1,0,1,0
3067,31,5,101,2.9,170,0,0,0,0,1,0,1,0,0,0
3345,35,11,14,1.0,0,0,0,1,0,0,0,0,1,1,1
4716,60,34,83,1.4,75,1,0,0,0,0,0,1,0,1,0
644,52,27,33,2.0,0,1,0,0,1,0,0,0,0,1,0
4131,48,23,23,0.4,122,0,0,1,1,0,0,0,0,0,0
3247,44,20,113,3.3,0,1,0,0,0,0,0,0,0,1,1
4779,39,14,20,0.6,0,0,0,0,0,1,0,0,0,1,0
1156,49,25,13,0.2,87,0,0,1,0,0,0,0,0,0,0
1098,46,20,114,0.0,0,0,0,0,0,0,0,0,0,1,1
1764,45,21,44,0.6,0,0,1,0,1,0,0,0,0,1,0
4317,58,33,60,1.3,0,0,0,1,0,1,0,0,0,1,0
2636,38,13,179,4.1,0,0,0,0,0,0,0,0,0,1,0
3027,53,29,50,0.1,152,0,0,1,0,1,0,0,0,1,0
98,49,23,94,0.3,0,0,0,0,0,0,0,0,0,1,0
1403,32,6,51,0.2,154,0,0,1,0,0,0,1,0,0,1
1925,43,19,81,0.3,218,0,0,0,0,0,0,0,0,1,0
1010,27,3,98,2.5,361,1,0,0,0,0,0,1,1,1,1
4975,38,11,29,1.0,0,0,0,1,1,0,0,0,0,1,0
4065,44,19,68,3.7,0,0,0,0,0,1,0,0,0,1,0
4883,38,13,129,4.1,0,0,1,0,0,1,1,0,1,1,1
556,60,34,21,0.3,129,0,1,0,0,1,0,0,0,1,0
3277,43,19,81,3.2,0,1,0,0,0,0,0,0,0,1,0
428,62,38,24,1.0,116,1,0,0,0,0,0,0,0,0,1
2653,30,5,121,3.1,408,1,0,0,0,0,0,0,0,1,0
372,56,30,44,0.7,174,0,0,1,1,0,0,0,0,1,0
4341,28,3,53,1.6,0,1,0,0,0,1,0,0,0,0,0
1552,29,5,195,4.3,0,0,0,0,0,0,0,0,0,0,0
4049,54,28,82,2.6,294,0,0,1,0,1,0,0,0,0,0
4073,51,27,19,0.2,0,0,0,0,0,0,0,0,0,0,0
3753,30,4,34,0.3,0,1,0,0,1,0,0,0,0,1,1
2720,48,23,32,0.1,0,0,0,0,0,0,0,0,0,0,1
4091,32,6,122,1.3,0,1,0,0,0,0,0,0,0,1,1
1413,48,24,12,0.4,0,0,1,0,0,0,0,0,0,0,0
4399,48,23,21,0.1,0,0,0,0,0,0,0,0,0,0,0
2147,27,3,20,1.0,0,0,0,1,0,0,0,0,0,0,0
3716,55,29,65,2.5,0,0,1,0,0,0,0,0,0,0,0
2687,52,27,135,0.6,452,0,0,0,0,0,0,0,0,1,0
2478,30,5,178,6.7,0,1,0,0,0,0,0,0,0,0,0
4739,62,38,174,4.7,0,0,0,0,0,0,0,0,0,1,1
4442,48,23,62,3.6,83,0,0,1,0,1,0,0,0,0,1
285,40,13,69,2.33,0,0,1,0,1,0,0,0,0,0,0
1710,31,5,29,0.3,131,1,0,0,1,0,0,0,0,1,1
1444,60,33,154,3.0,0,0,0,0,1,0,1,1,1,1,0
4052,43,19,54,1.7,0,1,0,0,0,0,0,0,0,1,0
248,55,29,99,1.4,264,1,0,0,0,0,0,0,0,1,1
4031,42,18,29,0.3,0,0,0,0,0,1,0,0,0,1,0
724,64,38,92,2.0,0,0,0,0,0,0,0,0,0,1,0
1044,49,24,79,0.2,83,0,0,0,1,0,0,0,0,1,1
729,58,28,90,3.0,0,0,0,0,0,1,0,0,0,0,1
2784,36,9,115,2.2,0,0,0,1,1,0,1,0,0,0,0
3454,47,21,132,0.3,0,0,0,0,0,0,0,0,0,1,0
1113,28,2,70,0.3,0,0,1,0,0,1,0,0,0,0,1
4149,41,15,53,0.7,0,0,0,0,0,1,0,0,0,1,0
206,49,25,31,1.0,0,0,0,0,0,0,0,1,0,1,0
2188,29,4,9,0.5,86,0,0,1,0,1,0,0,0,1,1
1344,49,25,93,2.7,0,0,0,0,0,0,0,1,0,1,0
3904,29,5,18,0.4,94,0,0,0,0,1,0,0,0,1,1
4932,59,35,111,4.3,0,0,0,0,0,0,0,0,0,1,0
1050,53,27,145,6.1,294,1,0,0,0,1,1,0,1,1,1
4340,34,10,92,2.7,0,1,0,0,0,0,0,1,1,0,1
3196,37,7,73,1.8,0,0,0,1,0,1,0,0,0,1,1
1277,45,20,194,8.8,428,1,0,0,0,0,0,0,0,0,0
1398,42,18,141,3.5,0,0,0,0,0,0,0,0,0,0,0
3455,43,19,28,0.5,0,0,1,0,0,0,0,0,0,1,1
1333,62,38,99,1.7,0,0,0,1,1,0,0,0,0,1,0
3857,63,39,39,1.9,0,0,0,0,1,0,0,0,0,0,0
4199,43,19,81,0.2,0,0,0,1,0,1,0,0,0,0,1
4001,61,35,81,1.9,0,0,0,1,1,0,0,0,0,0,0
3152,40,15,83,1.0,0,0,0,0,0,1,0,0,0,0,0
1919,38,13,19,1.4,120,1,0,0,1,0,0,0,0,0,1
3604,63,38,59,0.5,0,0,1,0,1,0,0,0,0,1,0
2118,31,5,125,1.3,0,1,0,0,0,0,0,0,0,1,1
3984,34,8,18,0.3,0,0,0,1,0,0,0,0,0,0,0
789,29,3,31,0.3,0,0,0,1,1,0,0,0,0,1,0
1406,53,23,20,0.4,0,0,0,1,0,1,0,0,0,1,1
3071,32,8,74,0.1,257,0,0,1,1,0,0,0,0,0,1
4741,58,32,55,2.5,0,0,0,1,0,0,0,0,0,1,0
299,41,15,159,5.5,0,0,0,0,0,1,1,0,1,1,0
1961,52,26,114,4.9,0,0,0,0,0,0,0,0,0,0,0
863,54,30,70,1.6,265,0,0,0,0,1,0,0,0,0,0
1064,41,17,138,6.9,0,0,1,0,1,0,1,0,0,1,0
3244,48,24,24,0.2,0,0,0,1,0,0,0,0,0,1,0
4120,49,23,23,1.4,0,0,0,0,0,1,0,0,0,0,0
57,56,31,131,1.2,0,1,0,0,0,1,1,0,0,0,0
2601,50,24,32,1.4,167,0,0,0,0,1,0,0,0,0,0
3630,41,16,79,4.0,225,0,0,0,0,1,0,0,0,1,0
2247,60,34,60,2.5,103,0,0,0,0,1,0,0,0,0,0
3801,34,8,20,0.3,106,1,0,0,0,0,0,0,0,1,1
2805,37,12,182,5.8,0,0,1,0,0,1,1,0,0,1,0
517,54,27,43,1.0,169,0,1,0,1,0,0,0,0,0,0
3761,49,24,25,0.7,0,1,0,0,0,1,0,0,0,1,0
4292,63,37,191,4.3,205,1,0,0,0,1,1,0,0,0,0
2641,29,5,133,5.4,212,0,0,0,0,0,0,0,0,1,0
4738,56,32,44,1.5,153,0,1,0,0,0,0,0,0,1,0
4403,50,24,112,0.0,0,0,0,0,0,0,0,0,0,0,0
4302,52,27,85,3.4,0,0,1,0,0,1,1,0,0,0,0
2442,39,15,41,1.7,0,1,0,0,0,0,0,0,0,0,0
756,56,31,82,1.3,0,0,0,1,0,1,0,0,0,1,0
684,43,17,164,2.4,449,0,0,0,0,0,0,0,0,1,0
987,62,36,84,2.8,0,1,0,0,0,0,0,0,0,1,0
447,49,23,71,1.4,0,0,0,0,0,1,0,0,0,0,0
4349,45,18,44,1.0,193,0,1,0,1,0,0,0,0,0,0
203,58,34,65,2.2,0,0,0,1,0,0,0,0,0,1,0
1987,56,31,52,2.0,0,0,1,0,1,0,0,1,1,1,1
2809,42,16,185,2.2,0,0,1,0,1,0,1,1,1,1,1
1399,40,16,69,2.4,0,0,0,1,0,0,0,0,0,1,0
1683,55,29,33,0.4,0,1,0,0,0,1,0,0,0,0,0
2754,26,1,61,2.2,119,0,0,1,0,0,0,0,0,0,0
1519,63,38,22,0.1,90,0,1,0,0,1,0,0,0,1,0
2670,59,33,142,2.7,0,1,0,0,0,0,0,0,0,0,0
3663,26,2,60,1.6,0,0,0,1,0,0,0,0,1,1,1
931,27,3,43,1.0,0,0,0,0,0,1,0,0,0,1,0
823,35,9,45,2.0,0,0,0,0,0,0,0,0,0,1,1
1941,43,19,58,3.2,0,1,0,0,0,0,0,0,0,1,0
4615,37,12,84,0.7,0,0,0,1,0,1,0,0,0,1,0
757,52,28,81,1.8,0,0,1,0,1,0,0,1,0,0,0
836,42,17,74,3.0,0,0,1,0,0,0,0,0,0,0,1
181,36,12,10,0.7,81,0,0,1,1,0,0,0,0,0,0
4460,47,22,78,0.2,0,0,0,0,1,0,0,0,0,1,0
275,49,24,50,1.8,0,0,0,1,0,1,0,1,0,0,0
2675,31,1,70,1.75,0,1,0,0,0,1,0,0,1,1,1
1564,64,40,63,1.2,0,0,0,1,1,0,0,0,0,1,0
4892,43,19,35,0.3,120,0,0,0,0,1,0,1,0,1,0
2762,56,31,65,3.7,0,1,0,0,0,0,0,0,0,1,0
1657,31,5,28,1.0,0,0,1,0,0,0,0,0,0,1,0
1074,39,14,75,3.0,0,0,1,0,0,0,0,0,0,0,1
687,48,22,65,1.5,0,1,0,0,1,0,0,0,0,1,0
4847,37,11,65,2.4,260,1,0,0,1,0,0,0,0,1,0
2076,49,23,119,7.3,398,0,0,0,0,0,0,0,0,0,0
3484,45,18,53,2.5,112,0,1,0,1,0,0,0,0,0,0
2708,49,24,75,2.8,160,0,0,0,1,0,0,0,0,0,1
4796,26,0,42,1.3,0,0,0,1,0,1,0,1,0,0,0
555,34,8,35,0.8,137,0,0,1,0,0,0,0,1,1,1
1296,30,6,80,1.5,219,0,1,0,0,0,0,0,0,1,0
3792,62,36,109,1.7,0,0,0,1,0,1,0,0,0,1,0
1603,36,6,138,7.0,86,0,0,0,0,1,1,0,0,1,0
1986,42,17,114,0.4,0,1,0,0,0,0,0,0,0,0,0
4221,48,22,83,0.4,248,1,0,0,0,1,0,0,0,1,0
1041,56,32,51,1.5,0,0,0,1,0,0,0,0,0,0,0
3708,31,1,74,4.0,0,0,0,1,0,1,0,0,0,0,0
1023,45,20,109,7.0,366,0,0,0,0,0,0,0,0,1,0
2179,49,23,68,1.5,0,0,0,0,1,0,0,0,0,0,0
4457,55,29,81,1.7,171,0,1,0,1,0,0,0,0,1,0
1791,48,22,139,0.0,0,0,0,0,0,0,0,0,1,1,1
3242,38,14,33,2.0,0,0,0,0,1,0,0,0,0,1,0
1264,58,33,138,3.9,0,1,0,0,0,0,0,0,0,1,0
1021,35,8,41,1.0,0,1,0,0,1,0,0,0,0,1,1
4747,49,25,91,1.4,0,0,0,1,1,0,0,0,0,1,0
3695,61,35,60,2.8,0,0,0,0,1,0,0,0,0,1,0
1404,58,28,75,1.4,0,0,0,0,0,1,0,0,0,1,0
1534,59,34,30,1.3,0,0,0,0,0,0,0,0,0,1,1
3631,46,21,51,1.9,0,0,0,1,0,1,0,0,0,0,0
1563,55,29,19,0.7,121,0,0,1,0,1,0,1,0,0,1
1989,59,35,55,1.8,0,0,0,0,0,1,0,1,0,0,0
1520,54,30,120,7.4,119,0,0,0,0,0,0,0,0,1,1
2932,41,16,154,7.0,0,0,0,0,0,0,0,0,0,0,1
1375,50,26,179,2.9,0,0,0,0,0,1,1,0,0,0,1
2739,43,18,42,0.3,0,0,0,0,0,1,0,0,0,1,0
4043,49,23,64,2.6,0,0,0,1,0,0,0,0,0,1,1
1766,64,38,22,0.2,0,1,0,0,0,1,0,1,0,0,0
3565,40,15,43,1.1,0,1,0,0,1,0,0,0,0,0,1
1893,49,24,13,0.4,101,0,0,0,0,1,0,1,0,0,0
3655,48,22,125,2.4,0,0,0,0,0,0,0,0,0,1,0
457,29,3,69,0.3,0,0,1,0,0,1,0,0,0,0,0
2756,27,0,40,1.0,0,0,0,1,0,1,0,0,0,1,0
12,48,23,114,3.8,0,1,0,0,0,1,0,1,0,0,0
2051,34,8,38,0.2,0,0,0,1,0,0,0,0,0,0,0
3935,59,33,53,2.5,0,0,1,0,0,0,0,0,0,1,0
4844,31,6,81,2.5,313,1,0,0,0,0,0,0,0,0,0
4385,56,32,23,1.2,127,0,0,0,0,1,0,0,0,1,1
1351,59,35,84,1.8,0,0,0,0,0,1,0,0,0,1,1
2863,29,5,70,0.0,0,0,0,1,0,0,0,0,0,1,1
891,32,6,120,5.4,301,0,0,1,0,0,1,0,1,1,1
4901,26,0,54,1.1,0,0,1,0,1,0,0,0,0,1,0
544,35,10,164,7.8,0,1,0,0,0,0,0,0,0,1,0
3976,60,33,42,2.5,194,0,0,1,1,0,0,0,0,1,0
3423,61,35,38,1.0,0,1,0,0,0,1,0,0,0,0,0
3134,54,30,22,0.4,89,1,0,0,0,0,0,0,0,1,0
1729,50,20,25,0.4,0,0,0,1,0,1,0,0,0,1,0
2576,60,36,30,1.3,118,0,0,1,0,0,0,0,0,1,1
192,50,23,85,2.67,0,0,0,0,1,0,0,0,0,1,0
62,42,18,22,1.0,0,0,0,0,0,0,0,0,0,0,0
1526,36,10,80,2.2,0,0,0,1,1,0,0,0,0,1,0
2703,51,27,71,2.6,0,0,0,0,1,0,0,0,0,0,1
1122,32,7,38,1.0,0,0,0,0,0,0,0,0,0,1,0
1011,52,27,39,0.7,166,1,0,0,1,0,0,0,0,1,0
1537,58,34,41,1.3,0,0,0,1,0,0,0,0,0,1,0
1822,48,23,112,5.1,86,0,0,0,1,0,1,1,1,1,0
566,53,28,175,3.6,0,0,1,0,0,1,1,0,1,1,1
592,44,20,79,2.0,0,0,0,1,0,1,0,1,1,1,1
3866,51,25,40,1.8,0,0,0,1,0,0,0,1,0,0,1
941,38,13,129,4.4,140,0,0,1,0,0,1,0,0,0,0
4624,36,11,83,2.8,0,0,0,0,0,0,0,0,0,0,0
126,31,5,115,1.3,101,1,0,0,0,0,0,0,0,1,1
244,41,17,78,0.8,78,0,0,1,0,0,0,0,0,1,0
1364,44,19,69,0.4,0,0,0,1,0,0,0,0,0,0,0
4553,50,25,44,0.7,192,1,0,0,1,0,0,0,0,1,0
3852,33,7,15,0.4,82,0,0,0,1,0,0,1,1,1,1
2707,35,9,131,0.3,0,0,1,0,0,1,1,0,1,1,1
2550,32,8,20,0.5,102,0,0,0,0,1,0,0,0,1,0
717,59,34,94,0.5,0,0,1,0,0,0,0,0,0,0,1
1497,45,21,73,0.8,0,0,0,0,0,1,0,0,0,1,0
5,37,13,29,0.4,155,0,0,1,1,0,0,0,0,1,0
1933,63,39,40,1.2,0,0,0,1,1,0,0,0,0,1,0
2800,52,26,28,0.7,90,1,0,0,1,0,0,0,0,1,1
359,32,6,32,1.9,0,0,0,0,0,1,0,0,0,1,0
1387,35,10,38,1.7,0,0,0,1,0,0,0,0,0,1,1
1856,51,24,21,1.0,0,1,0,0,1,0,0,0,0,1,0
